,Academic Yr,Degree Level Desc,Degree Desc,College/School,Division,Department,Major,MajorShort,STEM Flag,Entry Status Desc,Residency Status Desc,Gender,Ethnicity,Headcount
58,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,International,Male,International,1
59,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,Out-of-State Domestic,Female,Asian/Pacific Islander,2
60,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,Out-of-State Domestic,Female,White/Other,1
61,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,Out-of-State Domestic,Male,Asian/Pacific Islander,5
62,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,Out-of-State Domestic,Male,Underrepresented Minority,1
63,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Freshman,Out-of-State Domestic,Male,White/Other,1
64,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Other,CA Resident,Male,Asian/Pacific Islander,1
65,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Transfer,CA Resident,Female,Asian/Pacific Islander,4
66,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Transfer,CA Resident,Male,Asian/Pacific Islander,10
67,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Transfer,CA Resident,Male,Underrepresented Minority,2
68,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Transfer,CA Resident,Male,White/Other,10
69,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Transfer,International,Male,International,3
70,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Comp Sci,1,Transfer,Out-of-State Domestic,Male,Asian/Pacific Islander,1
71,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Freshman,CA Resident,Female,Asian/Pacific Islander,21
72,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Freshman,CA Resident,Female,White/Other,5
73,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Freshman,CA Resident,Male,Asian/Pacific Islander,22
74,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Freshman,CA Resident,Male,Underrepresented Minority,6
75,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Freshman,CA Resident,Male,White/Other,9
76,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Freshman,International,Female,International,1
77,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Freshman,Out-of-State Domestic,Male,Asian/Pacific Islander,1
78,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Other,CA Resident,Female,Asian/Pacific Islander,1
79,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Other,Out-of-State Domestic,Male,Asian/Pacific Islander,1
80,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,CA Resident,Female,Asian/Pacific Islander,6
81,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,CA Resident,Female,Underrepresented Minority,1
82,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,CA Resident,Female,White/Other,3
83,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,CA Resident,Male,Asian/Pacific Islander,6
84,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,CA Resident,Male,Underrepresented Minority,2
85,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,CA Resident,Male,White/Other,3
86,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,International,Female,International,4
87,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,International,Male,International,11
88,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,L&S Env Econ & Pol,1,Transfer,Out-of-State Domestic,Female,Asian/Pacific Islander,2
89,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,CA Resident,Female,Asian/Pacific Islander,23
90,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,CA Resident,Female,Underrepresented Minority,8
91,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,CA Resident,Female,White/Other,22
92,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,CA Resident,Male,Asian/Pacific Islander,10
93,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,CA Resident,Male,Underrepresented Minority,1
94,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,CA Resident,Male,White/Other,11
95,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,International,Female,International,2
96,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,International,Male,International,3
97,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,Out-of-State Domestic,Female,Asian/Pacific Islander,1
98,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,Out-of-State Domestic,Male,Asian/Pacific Islander,1
99,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,Out-of-State Domestic,Male,Underrepresented Minority,1
100,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Freshman,Out-of-State Domestic,Male,White/Other,1
101,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Other,CA Resident,Female,Underrepresented Minority,2
102,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Other,CA Resident,Male,Asian/Pacific Islander,2
103,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Other,CA Resident,Male,White/Other,1
104,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Transfer,CA Resident,Female,Asian/Pacific Islander,10
105,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Transfer,CA Resident,Female,Underrepresented Minority,10
106,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Transfer,CA Resident,Female,White/Other,7
107,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Transfer,CA Resident,Male,Asian/Pacific Islander,4
108,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Transfer,CA Resident,Male,Underrepresented Minority,5
109,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Transfer,CA Resident,Male,White/Other,10
110,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Legal St,0,Transfer,International,Female,International,1
111,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Ops Rsch & Mgmt Sci,1,Freshman,CA Resident,Female,Asian/Pacific Islander,1
112,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Ops Rsch & Mgmt Sci,1,Freshman,CA Resident,Male,Asian/Pacific Islander,1
113,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Ops Rsch & Mgmt Sci,1,Freshman,International,Female,International,2
114,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Ops Rsch & Mgmt Sci,1,Freshman,International,Male,International,3
115,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Ops Rsch & Mgmt Sci,1,Transfer,CA Resident,Female,Underrepresented Minority,1
116,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Ops Rsch & Mgmt Sci,1,Transfer,International,Male,International,1
117,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,CA Resident,Female,Asian/Pacific Islander,59
118,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,CA Resident,Female,Underrepresented Minority,13
119,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,CA Resident,Female,White/Other,30
120,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,CA Resident,Male,Asian/Pacific Islander,23
121,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,CA Resident,Male,Underrepresented Minority,4
122,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,CA Resident,Male,White/Other,3
123,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,International,Male,International,1
124,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,Out-of-State Domestic,Female,Asian/Pacific Islander,2
125,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,Out-of-State Domestic,Female,White/Other,5
126,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Freshman,Out-of-State Domestic,Male,White/Other,2
127,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Transfer,CA Resident,Female,Asian/Pacific Islander,4
128,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Transfer,CA Resident,Female,Underrepresented Minority,1
129,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Transfer,CA Resident,Female,White/Other,1
130,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Transfer,CA Resident,Male,Asian/Pacific Islander,3
131,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Transfer,CA Resident,Male,Underrepresented Minority,1
132,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Pub Hlth,0,Transfer,CA Resident,Male,White/Other,1
133,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,CA Resident,Female,Asian/Pacific Islander,25
134,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,CA Resident,Female,Underrepresented Minority,28
135,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,CA Resident,Female,White/Other,21
136,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,CA Resident,Male,Underrepresented Minority,5
137,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,CA Resident,Male,White/Other,4
138,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,International,Female,International,1
139,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,Out-of-State Domestic,Female,Asian/Pacific Islander,1
140,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,Out-of-State Domestic,Female,White/Other,1
141,2011-12,Bachelor,Bachelor of Arts,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Soc Welfare,0,Freshman,Out-of-State Domestic,Male,White/Other,2
