Minor Nm,Minor Dept,Minor Div,Minor Clg,Academic Yr,Ucb Level1 Ethnic Rollup Desc,Person Gender Desc,Entry Status Desc
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,International,Female,New Freshmen
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2011-12,White/Other,Male,New Freshmen
Russian Literature UG,Slavic Languages & Literatures,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Geography UG,Geography,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Male,New Freshmen
Toxicology UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2011-12,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Geography UG,Geography,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,International,Female,New Freshmen
Philosophy UG,Philosophy,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,White/Other,Female,Advanced Standing
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Asian/Pacific Islander,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Energy & Resources UG,Energy & Resources Grad Grp,Clg of Natural Resources,Clg of Natural Resources,2011-12,Asian/Pacific Islander,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Male,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2011-12,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,Advanced Standing
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2011-12,Asian/Pacific Islander,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2011-12,Underrepresented Minority,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Physics UG,Physics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Luso-Brazilian Lang Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Underrepresented Minority,Male,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Underrepresented Minority,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Geography UG,Geography,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Rhetoric UG,Rhetoric,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,International,Male,New Freshmen
Env Dsgn & Urb Devl Coun UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,Advanced Standing
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Male,New Freshmen
Energy & Resources UG,Energy & Resources Grad Grp,Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Male,New Freshmen
Geography UG,Geography,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
History of Built Environ UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Social Cultrl Factors ED UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Applied Language Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Energy & Resources UG,Energy & Resources Grad Grp,Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Male,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2011-12,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2011-12,Underrepresented Minority,Male,New Freshmen
Geography UG,Geography,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,Advanced Standing
Env Dsgn & Urb Devl Coun UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Male,Advanced Standing
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Male,New Freshmen
Russian Lang Lit Cultr UG,Slavic Languages & Literatures,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Underrepresented Minority,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Scandinavian UG,Scandinavian,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Male,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Underrepresented Minority,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
South & SE Asian Studies UG,South & SE Asian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Linguistics UG,Linguistics,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Arabic UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Underrepresented Minority,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Male,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Theater & Performance St UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Dance & Performance Stds UG,Theater Dance & Perf Stds,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
